risk_budget,method,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,mean_accepted,ci95_accepted,mean_breach,ci95_breach,mean_gated_success,ci95_gated_success,mean_gated_utility,ci95_gated_utility,n
0.050000,cbf_safety_shield,0.612473,0.002302,0.577729,0.003486,0.567612,0.000761,0.132055,0.000880,0.117902,0.000805,0.049370,0.000218,0.256418,0.000253,0.066714,0.000267,0.067196,0.000246,0.131161,0.000818,0.129968,0.000695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.050000,conformal_visual_abstention,0.647849,0.001978,0.664960,0.003032,0.613742,0.000764,0.098867,0.000746,0.112030,0.000801,0.039459,0.000202,0.251779,0.000251,0.042430,0.000266,0.099563,0.000298,0.123077,0.000812,0.102626,0.000621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.050000,ensemble_risk_gate,0.658627,0.002202,0.645694,0.003361,0.584280,0.000759,0.124557,0.000855,0.112906,0.000803,0.046367,0.000214,0.228270,0.000255,0.059720,0.000266,0.061740,0.000257,0.122153,0.000817,0.122269,0.000680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.050000,foundation_policy_only,0.587145,0.004174,0.222456,0.006103,0.208886,0.000763,0.348721,0.001782,0.216613,0.000825,0.112255,0.000294,0.123611,0.000277,0.140598,0.000283,0.002781,0.000106,0.265724,0.001094,0.305456,0.001182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.050000,oracle_visual_servo_foundation_arbiter,0.922261,0.001460,1.143363,0.002103,0.816701,0.000759,0.011438,0.000429,0.043381,0.000796,0.001663,0.000116,0.150126,0.000236,0.008556,0.000249,0.050388,0.000362,0.059864,0.000695,0.017538,0.000420,0.271875,0.021808,0.000000,0.000000,0.256680,0.020598,0.286045,0.026964,1600
0.050000,proposed_servo_foundation_arbiter_v4,0.769498,0.001947,0.852140,0.002932,0.678081,0.000759,0.077008,0.000691,0.080915,0.000804,0.026519,0.000200,0.206639,0.000241,0.040454,0.000262,0.057277,0.000290,0.091498,0.000774,0.077428,0.000593,0.000625,0.001225,0.000000,0.000000,0.000528,0.001035,-0.049353,0.001267,1600
0.050000,robust_mpc_handoff,0.661228,0.002036,0.668902,0.003129,0.616687,0.000757,0.107135,0.000777,0.104007,0.000808,0.039588,0.000210,0.276926,0.000254,0.055737,0.000261,0.070819,0.000278,0.116638,0.000809,0.107300,0.000641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.050000,stability_calibrated_servo_foundation_arbiter_v5,0.823982,0.001693,0.975441,0.002555,0.748638,0.000764,0.043391,0.000583,0.061538,0.000799,0.013507,0.000191,0.186450,0.000244,0.022987,0.000261,0.065128,0.000333,0.074900,0.000772,0.046337,0.000536,0.055000,0.011175,0.000000,0.000000,0.047975,0.009751,0.011212,0.012440,1600
0.100000,cbf_safety_shield,0.612607,0.002294,0.577856,0.003486,0.567699,0.000759,0.132178,0.000889,0.117868,0.000806,0.049328,0.000216,0.256499,0.000252,0.066568,0.000267,0.067139,0.000244,0.131152,0.000818,0.129969,0.000699,0.025000,0.007653,0.015625,0.006079,0.017485,0.005355,-0.030809,0.005878,1600
0.100000,conformal_visual_abstention,0.648030,0.001992,0.665200,0.003044,0.613853,0.000754,0.098837,0.000748,0.112020,0.000801,0.039463,0.000205,0.251843,0.000250,0.042379,0.000264,0.099578,0.000295,0.123037,0.000815,0.102603,0.000622,0.085625,0.013715,0.000000,0.000000,0.060695,0.009726,0.019933,0.011207,1600
0.100000,ensemble_risk_gate,0.658707,0.002216,0.645747,0.003375,0.584360,0.000761,0.124714,0.000859,0.112868,0.000806,0.046300,0.000215,0.228254,0.000251,0.059661,0.000264,0.061760,0.000255,0.122167,0.000820,0.122287,0.000683,0.101875,0.014826,0.053125,0.010993,0.073924,0.010764,0.031986,0.011938,1600
0.100000,foundation_policy_only,0.587084,0.004177,0.222414,0.006106,0.208904,0.000761,0.348788,0.001789,0.216529,0.000824,0.112201,0.000286,0.123704,0.000277,0.140480,0.000286,0.002776,0.000105,0.265640,0.001094,0.305417,0.001181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.100000,oracle_visual_servo_foundation_arbiter,0.922351,0.001473,1.143490,0.002113,0.816753,0.000759,0.011421,0.000427,0.043338,0.000794,0.001668,0.000117,0.150144,0.000240,0.008553,0.000251,0.050377,0.000360,0.059929,0.000696,0.017524,0.000418,0.997500,0.002448,0.000000,0.000000,0.920215,0.002691,1.140800,0.003595,1600
0.100000,proposed_servo_foundation_arbiter_v4,0.769211,0.001920,0.851974,0.002911,0.678191,0.000758,0.076871,0.000693,0.080964,0.000804,0.026495,0.000201,0.206645,0.000247,0.040521,0.000264,0.057265,0.000290,0.091437,0.000778,0.077371,0.000595,0.699375,0.022475,0.000000,0.000000,0.549922,0.017714,0.600836,0.020985,1600
0.100000,robust_mpc_handoff,0.661366,0.002027,0.669030,0.003116,0.616623,0.000766,0.107165,0.000772,0.103988,0.000803,0.039544,0.000212,0.276872,0.000252,0.055782,0.000264,0.070732,0.000278,0.116697,0.000806,0.107293,0.000639,0.168125,0.018331,0.000000,0.000000,0.119922,0.013083,0.085480,0.014782,1600
0.100000,stability_calibrated_servo_foundation_arbiter_v5,0.823937,0.001705,0.975483,0.002560,0.748520,0.000759,0.043227,0.000579,0.061527,0.000792,0.013466,0.000192,0.186547,0.000242,0.022992,0.000265,0.065099,0.000331,0.074797,0.000772,0.046234,0.000534,0.943125,0.011352,0.000000,0.000000,0.780266,0.009518,0.922735,0.011923,1600
0.150000,cbf_safety_shield,0.612582,0.002275,0.577900,0.003469,0.567757,0.000764,0.132030,0.000881,0.117985,0.000809,0.049374,0.000218,0.256476,0.000252,0.066578,0.000263,0.067230,0.000243,0.131164,0.000816,0.129952,0.000697,0.863750,0.016815,0.000000,0.000000,0.539223,0.010633,0.508166,0.011163,1600
0.150000,conformal_visual_abstention,0.648012,0.001960,0.665135,0.003013,0.613601,0.000767,0.098826,0.000740,0.111980,0.000799,0.039458,0.000204,0.251793,0.000251,0.042362,0.000268,0.099536,0.000297,0.123012,0.000813,0.102583,0.000620,0.942500,0.011411,0.000000,0.000000,0.615132,0.007641,0.631120,0.008645,1600
0.150000,ensemble_risk_gate,0.658210,0.002208,0.645294,0.003362,0.584303,0.000755,0.124619,0.000859,0.112843,0.000802,0.046297,0.000217,0.228352,0.000247,0.059660,0.000267,0.061706,0.000256,0.122173,0.000823,0.122233,0.000685,0.951875,0.010491,0.000000,0.000000,0.630969,0.007221,0.618772,0.007938,1600
0.150000,foundation_policy_only,0.587451,0.004204,0.222886,0.006138,0.208923,0.000768,0.348662,0.001788,0.216519,0.000825,0.112218,0.000293,0.123609,0.000277,0.140493,0.000283,0.002844,0.000109,0.265626,0.001096,0.305367,0.001185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.150000,oracle_visual_servo_foundation_arbiter,0.922068,0.001472,1.143136,0.002115,0.816655,0.000757,0.011446,0.000425,0.043462,0.000796,0.001667,0.000116,0.150102,0.000238,0.008509,0.000251,0.050418,0.000364,0.059930,0.000692,0.017554,0.000418,1.000000,0.000000,0.000000,0.000000,0.922068,0.001472,1.143136,0.002115,1600
0.150000,proposed_servo_foundation_arbiter_v4,0.769700,0.001934,0.852378,0.002921,0.677975,0.000757,0.076963,0.000690,0.080966,0.000803,0.026457,0.000198,0.206611,0.000246,0.040395,0.000266,0.057255,0.000288,0.091440,0.000776,0.077371,0.000591,1.000000,0.000000,0.000000,0.000000,0.769700,0.001934,0.852378,0.002921,1600
0.150000,robust_mpc_handoff,0.661188,0.002032,0.668875,0.003121,0.616539,0.000758,0.107170,0.000772,0.103895,0.000806,0.039546,0.000206,0.276786,0.000249,0.055723,0.000264,0.070773,0.000281,0.116649,0.000809,0.107265,0.000638,0.973125,0.007927,0.000000,0.000000,0.645922,0.005587,0.653534,0.006410,1600
0.150000,stability_calibrated_servo_foundation_arbiter_v5,0.823862,0.001674,0.975272,0.002531,0.748534,0.000760,0.043359,0.000581,0.061513,0.000795,0.013532,0.000189,0.186532,0.000241,0.023078,0.000262,0.065015,0.000331,0.074896,0.000775,0.046348,0.000532,1.000000,0.000000,0.000000,0.000000,0.823862,0.001674,0.975272,0.002531,1600
0.200000,cbf_safety_shield,0.612668,0.002300,0.577801,0.003486,0.567634,0.000769,0.132231,0.000880,0.117861,0.000806,0.049374,0.000213,0.256537,0.000253,0.066643,0.000268,0.067240,0.000244,0.131220,0.000810,0.130033,0.000692,1.000000,0.000000,0.000000,0.000000,0.612668,0.002300,0.577801,0.003486,1600
0.200000,conformal_visual_abstention,0.647953,0.002004,0.665063,0.003058,0.613815,0.000764,0.098898,0.000746,0.112042,0.000803,0.039461,0.000206,0.251826,0.000245,0.042397,0.000265,0.099518,0.000295,0.123062,0.000819,0.102639,0.000623,1.000000,0.000000,0.000000,0.000000,0.647953,0.002004,0.665063,0.003058,1600
0.200000,ensemble_risk_gate,0.658553,0.002212,0.645594,0.003368,0.584105,0.000761,0.124647,0.000854,0.112830,0.000804,0.046267,0.000217,0.228286,0.000251,0.059616,0.000265,0.061667,0.000256,0.122120,0.000817,0.122219,0.000682,1.000000,0.000000,0.000000,0.000000,0.658553,0.002212,0.645594,0.003368,1600
0.200000,foundation_policy_only,0.587337,0.004162,0.222650,0.006095,0.208731,0.000761,0.348748,0.001789,0.216471,0.000825,0.112221,0.000294,0.123668,0.000279,0.140474,0.000281,0.002802,0.000109,0.265657,0.001099,0.305396,0.001185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,1600
0.200000,oracle_visual_servo_foundation_arbiter,0.922706,0.001465,1.143731,0.002106,0.816566,0.000757,0.011548,0.000431,0.043250,0.000800,0.001692,0.000120,0.150055,0.000238,0.008481,0.000249,0.050424,0.000364,0.059964,0.000698,0.017566,0.000423,1.000000,0.000000,0.000000,0.000000,0.922706,0.001465,1.143731,0.002106,1600
0.200000,proposed_servo_foundation_arbiter_v4,0.769370,0.001947,0.851876,0.002939,0.678221,0.000759,0.077184,0.000689,0.081061,0.000800,0.026529,0.000204,0.206708,0.000251,0.040430,0.000263,0.057265,0.000292,0.091576,0.000779,0.077546,0.000595,1.000000,0.000000,0.000000,0.000000,0.769370,0.001947,0.851876,0.002939,1600
0.200000,robust_mpc_handoff,0.661309,0.002046,0.669051,0.003127,0.616697,0.000757,0.107085,0.000769,0.103935,0.000803,0.039600,0.000205,0.276843,0.000249,0.055763,0.000267,0.070782,0.000278,0.116601,0.000806,0.107272,0.000634,1.000000,0.000000,0.000000,0.000000,0.661309,0.002046,0.669051,0.003127,1600
0.200000,stability_calibrated_servo_foundation_arbiter_v5,0.824218,0.001690,0.975659,0.002554,0.748625,0.000762,0.043379,0.000579,0.061610,0.000801,0.013529,0.000191,0.186481,0.000246,0.022924,0.000259,0.065119,0.000334,0.074882,0.000773,0.046349,0.000533,1.000000,0.000000,0.000000,0.000000,0.824218,0.001690,0.975659,0.002554,1600
