method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
cbf_safety_shield,0,0.562767,0.002863,0.498258,0.003976,0.550532,0.000723,0.153190,0.000852,0.129312,0.001141,0.053630,0.000265,0.262173,0.000261,0.072654,0.000281,0.072711,0.000237,0.150312,0.000806,0.146163,0.000705,640
cbf_safety_shield,1,0.562175,0.002812,0.497644,0.003918,0.550395,0.000732,0.153256,0.000848,0.129315,0.001119,0.053526,0.000265,0.262188,0.000265,0.072562,0.000273,0.072703,0.000236,0.150289,0.000802,0.146119,0.000700,640
cbf_safety_shield,2,0.562569,0.002836,0.497941,0.003956,0.550101,0.000735,0.153138,0.000856,0.129345,0.001133,0.053555,0.000266,0.262239,0.000267,0.072749,0.000276,0.072788,0.000236,0.150305,0.000813,0.146119,0.000708,640
cbf_safety_shield,3,0.562614,0.002839,0.497979,0.003931,0.550272,0.000728,0.153326,0.000857,0.129309,0.001120,0.053581,0.000261,0.262135,0.000256,0.072509,0.000275,0.072812,0.000242,0.150404,0.000800,0.146173,0.000697,640
cbf_safety_shield,4,0.562550,0.002863,0.498003,0.003956,0.550398,0.000725,0.153171,0.000833,0.129262,0.001131,0.053573,0.000258,0.262285,0.000273,0.072748,0.000274,0.072786,0.000242,0.150346,0.000791,0.146127,0.000691,640
cbf_safety_shield,5,0.563748,0.002872,0.499231,0.004005,0.550100,0.000736,0.153144,0.000859,0.129139,0.001121,0.053503,0.000269,0.262237,0.000276,0.072629,0.000286,0.072754,0.000244,0.150285,0.000816,0.146025,0.000712,640
cbf_safety_shield,6,0.563381,0.002852,0.498654,0.003961,0.550371,0.000728,0.153336,0.000860,0.129255,0.001115,0.053744,0.000258,0.262171,0.000258,0.072709,0.000273,0.072709,0.000240,0.150432,0.000808,0.146297,0.000705,640
cbf_safety_shield,7,0.562956,0.002921,0.498193,0.004040,0.550338,0.000752,0.153423,0.000846,0.129330,0.001119,0.053637,0.000267,0.262207,0.000275,0.072645,0.000266,0.072765,0.000237,0.150475,0.000802,0.146281,0.000704,640
cbf_safety_shield,8,0.562715,0.002848,0.497992,0.003979,0.550193,0.000754,0.153288,0.000873,0.129535,0.001123,0.053549,0.000257,0.262228,0.000264,0.072614,0.000266,0.072780,0.000239,0.150425,0.000821,0.146205,0.000708,640
cbf_safety_shield,9,0.562651,0.002846,0.497941,0.003979,0.550290,0.000729,0.153404,0.000860,0.129249,0.001129,0.053587,0.000268,0.262197,0.000271,0.072599,0.000276,0.072864,0.000242,0.150383,0.000816,0.146217,0.000716,640
classical_ibvs_only,0,0.455982,0.002755,0.367249,0.003861,0.470991,0.000731,0.155286,0.000829,0.143599,0.001129,0.069373,0.000263,0.165211,0.000280,0.095065,0.000274,0.030308,0.000189,0.153470,0.000718,0.163477,0.000692,640
classical_ibvs_only,1,0.455751,0.002752,0.366895,0.003867,0.470856,0.000732,0.155274,0.000837,0.143612,0.001114,0.069592,0.000264,0.165044,0.000261,0.095090,0.000275,0.030234,0.000200,0.153531,0.000724,0.163606,0.000695,640
classical_ibvs_only,2,0.455933,0.002778,0.367174,0.003882,0.470967,0.000739,0.155298,0.000837,0.143623,0.001124,0.069419,0.000260,0.164975,0.000266,0.095196,0.000270,0.030228,0.000202,0.153521,0.000724,0.163538,0.000695,640
classical_ibvs_only,3,0.456011,0.002744,0.367321,0.003866,0.470915,0.000731,0.155108,0.000832,0.143580,0.001119,0.069558,0.000266,0.165082,0.000273,0.095041,0.000276,0.030365,0.000192,0.153394,0.000723,0.163491,0.000697,640
classical_ibvs_only,4,0.455467,0.002788,0.366551,0.003898,0.470938,0.000735,0.155528,0.000828,0.143553,0.001120,0.069483,0.000260,0.164921,0.000267,0.095077,0.000276,0.030252,0.000194,0.153609,0.000723,0.163649,0.000691,640
classical_ibvs_only,5,0.456491,0.002797,0.367676,0.003881,0.471194,0.000728,0.155344,0.000820,0.143665,0.001114,0.069483,0.000254,0.165141,0.000272,0.095257,0.000268,0.030326,0.000192,0.153614,0.000709,0.163618,0.000679,640
classical_ibvs_only,6,0.455537,0.002755,0.366758,0.003869,0.471345,0.000738,0.155362,0.000834,0.143589,0.001127,0.069637,0.000261,0.165004,0.000260,0.095160,0.000272,0.030232,0.000202,0.153711,0.000724,0.163681,0.000695,640
classical_ibvs_only,7,0.455653,0.002822,0.366752,0.003945,0.470867,0.000741,0.155415,0.000837,0.143658,0.001126,0.069476,0.000263,0.165088,0.000269,0.095024,0.000282,0.030217,0.000198,0.153504,0.000725,0.163604,0.000697,640
classical_ibvs_only,8,0.455593,0.002793,0.366762,0.003900,0.471017,0.000736,0.155405,0.000828,0.143566,0.001126,0.069455,0.000270,0.165156,0.000275,0.095067,0.000267,0.030246,0.000190,0.153574,0.000725,0.163575,0.000693,640
classical_ibvs_only,9,0.455647,0.002756,0.366963,0.003861,0.471050,0.000725,0.155253,0.000836,0.143601,0.001113,0.069407,0.000261,0.165152,0.000276,0.095033,0.000278,0.030250,0.000193,0.153383,0.000723,0.163476,0.000690,640
conformal_visual_abstention,0,0.608215,0.002562,0.598302,0.003564,0.596592,0.000738,0.116469,0.000728,0.123366,0.001121,0.043379,0.000256,0.257426,0.000261,0.048297,0.000282,0.106516,0.000276,0.142154,0.000811,0.116899,0.000646,640
conformal_visual_abstention,1,0.608686,0.002552,0.598842,0.003540,0.596670,0.000737,0.116471,0.000738,0.123272,0.001131,0.043345,0.000253,0.257301,0.000264,0.048421,0.000271,0.106445,0.000284,0.142127,0.000814,0.116882,0.000647,640
conformal_visual_abstention,2,0.608443,0.002597,0.598370,0.003561,0.596654,0.000729,0.116688,0.000719,0.123394,0.001127,0.043389,0.000247,0.257320,0.000261,0.048431,0.000280,0.106434,0.000281,0.142241,0.000792,0.117040,0.000632,640
conformal_visual_abstention,3,0.608472,0.002582,0.598464,0.003558,0.596540,0.000720,0.116587,0.000745,0.123407,0.001114,0.043312,0.000239,0.257302,0.000267,0.048458,0.000277,0.106510,0.000282,0.142279,0.000795,0.116955,0.000632,640
conformal_visual_abstention,4,0.608006,0.002518,0.598062,0.003513,0.596637,0.000733,0.116649,0.000734,0.123339,0.001125,0.043313,0.000254,0.257261,0.000252,0.048251,0.000276,0.106493,0.000287,0.142206,0.000810,0.116933,0.000646,640
conformal_visual_abstention,5,0.607950,0.002582,0.597996,0.003567,0.596435,0.000750,0.116596,0.000726,0.123314,0.001136,0.043279,0.000245,0.257260,0.000262,0.048293,0.000268,0.106415,0.000285,0.142121,0.000791,0.116889,0.000631,640
conformal_visual_abstention,6,0.608122,0.002550,0.598173,0.003548,0.596395,0.000741,0.116443,0.000740,0.123405,0.001133,0.043307,0.000254,0.257393,0.000270,0.048392,0.000283,0.106486,0.000283,0.142100,0.000817,0.116870,0.000651,640
conformal_visual_abstention,7,0.608983,0.002580,0.599222,0.003580,0.596499,0.000741,0.116507,0.000739,0.123178,0.001125,0.043181,0.000252,0.257240,0.000265,0.048253,0.000278,0.106364,0.000287,0.142102,0.000813,0.116753,0.000646,640
conformal_visual_abstention,8,0.608755,0.002585,0.598832,0.003578,0.596354,0.000735,0.116530,0.000736,0.123394,0.001132,0.043122,0.000252,0.257363,0.000264,0.048419,0.000274,0.106414,0.000283,0.141954,0.000811,0.116807,0.000644,640
conformal_visual_abstention,9,0.608450,0.002587,0.598414,0.003553,0.596584,0.000725,0.116709,0.000730,0.123392,0.001112,0.043365,0.000243,0.257302,0.000272,0.048186,0.000272,0.106412,0.000289,0.142294,0.000796,0.116992,0.000629,640
ensemble_risk_gate,0,0.611895,0.002767,0.569958,0.003862,0.567115,0.000741,0.144892,0.000841,0.124214,0.001114,0.050308,0.000264,0.233912,0.000265,0.065646,0.000273,0.067640,0.000258,0.141244,0.000817,0.137870,0.000700,640
ensemble_risk_gate,1,0.612265,0.002806,0.570106,0.003908,0.566901,0.000736,0.145059,0.000832,0.124161,0.001143,0.050436,0.000268,0.233943,0.000273,0.065543,0.000272,0.067514,0.000250,0.141254,0.000815,0.137994,0.000703,640
ensemble_risk_gate,2,0.611502,0.002826,0.569509,0.003913,0.567064,0.000725,0.144943,0.000842,0.124211,0.001119,0.050351,0.000258,0.233762,0.000273,0.065713,0.000274,0.067539,0.000250,0.141218,0.000820,0.137931,0.000697,640
ensemble_risk_gate,3,0.612172,0.002752,0.570080,0.003825,0.566958,0.000740,0.144884,0.000810,0.124177,0.001133,0.050539,0.000256,0.233995,0.000272,0.065571,0.000266,0.067614,0.000245,0.141202,0.000790,0.137979,0.000681,640
ensemble_risk_gate,4,0.611300,0.002764,0.569263,0.003835,0.567017,0.000743,0.144962,0.000831,0.124311,0.001124,0.050276,0.000255,0.233866,0.000267,0.065700,0.000273,0.067653,0.000250,0.141226,0.000804,0.137916,0.000686,640
ensemble_risk_gate,5,0.611883,0.002811,0.569627,0.003898,0.567286,0.000725,0.145173,0.000843,0.124202,0.001132,0.050531,0.000259,0.233944,0.000271,0.065868,0.000272,0.067595,0.000248,0.141386,0.000824,0.138171,0.000703,640
ensemble_risk_gate,6,0.612423,0.002787,0.570271,0.003857,0.567079,0.000721,0.145182,0.000804,0.124090,0.001131,0.050354,0.000261,0.233861,0.000261,0.065702,0.000275,0.067560,0.000245,0.141331,0.000802,0.138019,0.000682,640
ensemble_risk_gate,7,0.612090,0.002748,0.570018,0.003821,0.567162,0.000726,0.145009,0.000836,0.124194,0.001120,0.050506,0.000258,0.233887,0.000272,0.065554,0.000273,0.067538,0.000245,0.141250,0.000809,0.138020,0.000689,640
ensemble_risk_gate,8,0.611999,0.002847,0.569573,0.003919,0.566871,0.000748,0.145212,0.000827,0.124155,0.001127,0.050659,0.000256,0.233905,0.000263,0.065697,0.000278,0.067520,0.000249,0.141384,0.000803,0.138224,0.000687,640
ensemble_risk_gate,9,0.612210,0.002781,0.570105,0.003854,0.566939,0.000729,0.144934,0.000813,0.124309,0.001140,0.050420,0.000260,0.233812,0.000256,0.065705,0.000277,0.067614,0.000254,0.141320,0.000803,0.137987,0.000687,640
fixed_hybrid_switch,0,0.540394,0.003253,0.413718,0.004522,0.494505,0.000735,0.211581,0.001025,0.142637,0.001118,0.068681,0.000269,0.189516,0.000277,0.093688,0.000282,0.036611,0.000200,0.172098,0.000824,0.189638,0.000792,640
fixed_hybrid_switch,1,0.540368,0.003303,0.413588,0.004573,0.494525,0.000731,0.211780,0.001030,0.142573,0.001135,0.068686,0.000264,0.189436,0.000274,0.093668,0.000276,0.036618,0.000194,0.172281,0.000823,0.189719,0.000787,640
fixed_hybrid_switch,2,0.540101,0.003275,0.413426,0.004541,0.494524,0.000731,0.211502,0.001023,0.142580,0.001126,0.068861,0.000269,0.189478,0.000274,0.093654,0.000279,0.036672,0.000198,0.172308,0.000828,0.189685,0.000788,640
fixed_hybrid_switch,3,0.540811,0.003283,0.413925,0.004556,0.494574,0.000732,0.211950,0.001024,0.142563,0.001136,0.068702,0.000280,0.189423,0.000273,0.093630,0.000281,0.036666,0.000194,0.172355,0.000837,0.189800,0.000800,640
fixed_hybrid_switch,4,0.539989,0.003232,0.413146,0.004503,0.494138,0.000738,0.211733,0.001024,0.142509,0.001123,0.068656,0.000275,0.189494,0.000272,0.093596,0.000282,0.036687,0.000198,0.172174,0.000822,0.189652,0.000791,640
fixed_hybrid_switch,5,0.541045,0.003245,0.414344,0.004518,0.494616,0.000732,0.211760,0.001024,0.142528,0.001132,0.068654,0.000274,0.189380,0.000276,0.093687,0.000278,0.036656,0.000198,0.172182,0.000829,0.189684,0.000793,640
fixed_hybrid_switch,6,0.540760,0.003288,0.413832,0.004553,0.494424,0.000734,0.211818,0.001025,0.142502,0.001127,0.068828,0.000263,0.189485,0.000280,0.093713,0.000289,0.036788,0.000197,0.172337,0.000823,0.189812,0.000788,640
fixed_hybrid_switch,7,0.540340,0.003245,0.413675,0.004518,0.494270,0.000741,0.211514,0.001031,0.142572,0.001132,0.068591,0.000270,0.189620,0.000271,0.093665,0.000279,0.036747,0.000195,0.172057,0.000831,0.189535,0.000796,640
fixed_hybrid_switch,8,0.540179,0.003266,0.413246,0.004521,0.494442,0.000738,0.211801,0.001021,0.142659,0.001138,0.068839,0.000266,0.189552,0.000271,0.093574,0.000279,0.036676,0.000196,0.172358,0.000819,0.189819,0.000782,640
fixed_hybrid_switch,9,0.540795,0.003268,0.413978,0.004536,0.494166,0.000731,0.211589,0.001033,0.142621,0.001128,0.068723,0.000273,0.189504,0.000276,0.093706,0.000273,0.036625,0.000197,0.172139,0.000825,0.189666,0.000792,640
foundation_policy_only,0,0.485179,0.004970,0.072907,0.006765,0.191486,0.000723,0.391973,0.001658,0.228757,0.001131,0.118721,0.000330,0.130096,0.000291,0.146846,0.000283,0.004482,0.000144,0.291782,0.001055,0.333764,0.001131,640
foundation_policy_only,1,0.484980,0.004987,0.072712,0.006792,0.191653,0.000737,0.391915,0.001665,0.228760,0.001141,0.118781,0.000327,0.130279,0.000294,0.146963,0.000296,0.004444,0.000147,0.291926,0.001057,0.333793,0.001133,640
foundation_policy_only,2,0.484608,0.004941,0.072255,0.006738,0.191507,0.000732,0.392008,0.001663,0.228843,0.001140,0.118709,0.000324,0.130098,0.000295,0.147022,0.000275,0.004510,0.000152,0.291939,0.001047,0.333824,0.001128,640
foundation_policy_only,3,0.485481,0.004986,0.073102,0.006780,0.191626,0.000730,0.392061,0.001656,0.228794,0.001130,0.118801,0.000331,0.130134,0.000292,0.146949,0.000290,0.004544,0.000153,0.291946,0.001060,0.333879,0.001131,640
foundation_policy_only,4,0.485419,0.004927,0.073088,0.006732,0.191343,0.000745,0.391933,0.001659,0.228918,0.001135,0.118754,0.000326,0.129850,0.000291,0.146959,0.000282,0.004459,0.000153,0.291932,0.001058,0.333820,0.001129,640
foundation_policy_only,5,0.485561,0.004953,0.073170,0.006740,0.191876,0.000739,0.392148,0.001653,0.228843,0.001135,0.118901,0.000323,0.129988,0.000293,0.146932,0.000289,0.004546,0.000150,0.291999,0.001052,0.333987,0.001120,640
foundation_policy_only,6,0.484943,0.004924,0.072563,0.006725,0.191374,0.000746,0.392018,0.001656,0.228779,0.001147,0.118819,0.000319,0.130076,0.000299,0.146761,0.000280,0.004553,0.000148,0.291923,0.001056,0.333832,0.001130,640
foundation_policy_only,7,0.485484,0.004954,0.073314,0.006750,0.191786,0.000722,0.391855,0.001665,0.228820,0.001146,0.118777,0.000323,0.130052,0.000291,0.146996,0.000283,0.004691,0.000153,0.291799,0.001056,0.333780,0.001130,640
foundation_policy_only,8,0.484476,0.004983,0.072143,0.006786,0.191639,0.000743,0.392000,0.001657,0.228885,0.001138,0.118742,0.000327,0.130144,0.000298,0.146959,0.000289,0.004628,0.000154,0.291890,0.001051,0.333837,0.001128,640
foundation_policy_only,9,0.485443,0.004959,0.073234,0.006760,0.191750,0.000733,0.392011,0.001666,0.228802,0.001149,0.118746,0.000323,0.129927,0.000296,0.146856,0.000280,0.004536,0.000151,0.291910,0.001055,0.333809,0.001128,640
latency_optimized_switch,0,0.638845,0.002789,0.619443,0.003862,0.584199,0.000740,0.141427,0.000816,0.121476,0.001133,0.047380,0.000262,0.173229,0.000271,0.071141,0.000278,0.050050,0.000228,0.127935,0.000770,0.134895,0.000688,640
latency_optimized_switch,1,0.639485,0.002825,0.619875,0.003890,0.584169,0.000748,0.141516,0.000804,0.121653,0.001122,0.047466,0.000267,0.173394,0.000261,0.071182,0.000278,0.049966,0.000236,0.128144,0.000771,0.135034,0.000682,640
latency_optimized_switch,2,0.640254,0.002784,0.620533,0.003839,0.584237,0.000735,0.141663,0.000810,0.121611,0.001118,0.047520,0.000253,0.173367,0.000260,0.071256,0.000280,0.049910,0.000233,0.128292,0.000757,0.135140,0.000673,640
latency_optimized_switch,3,0.638914,0.002814,0.619412,0.003887,0.584290,0.000737,0.141559,0.000828,0.121599,0.001129,0.047310,0.000249,0.173337,0.000263,0.071229,0.000278,0.049929,0.000235,0.127983,0.000782,0.134961,0.000685,640
latency_optimized_switch,4,0.638705,0.002810,0.619071,0.003872,0.584178,0.000742,0.141561,0.000809,0.121430,0.001129,0.047483,0.000260,0.173413,0.000265,0.071351,0.000264,0.050014,0.000230,0.128095,0.000768,0.135047,0.000679,640
latency_optimized_switch,5,0.638672,0.002848,0.619015,0.003916,0.584198,0.000726,0.141671,0.000809,0.121526,0.001125,0.047414,0.000263,0.173418,0.000266,0.071184,0.000278,0.049956,0.000230,0.128017,0.000777,0.135051,0.000683,640
latency_optimized_switch,6,0.639619,0.002799,0.619904,0.003874,0.584344,0.000728,0.141727,0.000817,0.121551,0.001127,0.047525,0.000257,0.173394,0.000268,0.071203,0.000267,0.049987,0.000223,0.128253,0.000770,0.135152,0.000681,640
latency_optimized_switch,7,0.638988,0.002767,0.619305,0.003842,0.584033,0.000736,0.141667,0.000829,0.121477,0.001127,0.047498,0.000253,0.173267,0.000267,0.071075,0.000267,0.049942,0.000228,0.128089,0.000778,0.135067,0.000691,640
latency_optimized_switch,8,0.639059,0.002824,0.619241,0.003910,0.584184,0.000733,0.141817,0.000825,0.121519,0.001108,0.047464,0.000263,0.173325,0.000266,0.071338,0.000277,0.050050,0.000231,0.128239,0.000780,0.135176,0.000693,640
latency_optimized_switch,9,0.639149,0.002806,0.619727,0.003873,0.584260,0.000734,0.141419,0.000818,0.121421,0.001127,0.047514,0.000257,0.173225,0.000259,0.071164,0.000266,0.049843,0.000232,0.127990,0.000781,0.134962,0.000688,640
learned_residual_servoing,0,0.658478,0.002701,0.650932,0.003723,0.610133,0.000717,0.134468,0.000782,0.104105,0.001114,0.040968,0.000257,0.230186,0.000266,0.064439,0.000272,0.058820,0.000242,0.124967,0.000765,0.122808,0.000663,640
learned_residual_servoing,1,0.657616,0.002710,0.650244,0.003740,0.610286,0.000726,0.134312,0.000793,0.104306,0.001112,0.041001,0.000258,0.230032,0.000266,0.064241,0.000283,0.058816,0.000235,0.124938,0.000771,0.122761,0.000666,640
learned_residual_servoing,2,0.658365,0.002767,0.650980,0.003809,0.610165,0.000717,0.134277,0.000789,0.104270,0.001123,0.041022,0.000266,0.230075,0.000271,0.064199,0.000274,0.058771,0.000244,0.124947,0.000778,0.122741,0.000676,640
learned_residual_servoing,3,0.657876,0.002708,0.650337,0.003730,0.610262,0.000732,0.134341,0.000771,0.104270,0.001114,0.041233,0.000262,0.230060,0.000256,0.064327,0.000277,0.058798,0.000246,0.125081,0.000767,0.122917,0.000662,640
learned_residual_servoing,4,0.658049,0.002694,0.650670,0.003732,0.610078,0.000729,0.134181,0.000783,0.104211,0.001123,0.041022,0.000250,0.230206,0.000257,0.064316,0.000276,0.058738,0.000246,0.124873,0.000766,0.122703,0.000665,640
learned_residual_servoing,5,0.659067,0.002712,0.651610,0.003756,0.609896,0.000729,0.134202,0.000792,0.104187,0.001120,0.041057,0.000265,0.230155,0.000268,0.064324,0.000276,0.058689,0.000240,0.124889,0.000784,0.122729,0.000680,640
learned_residual_servoing,6,0.658048,0.002708,0.650501,0.003747,0.610267,0.000734,0.134478,0.000785,0.104352,0.001123,0.041092,0.000255,0.230021,0.000261,0.064195,0.000271,0.058796,0.000241,0.125057,0.000771,0.122895,0.000668,640
learned_residual_servoing,7,0.658155,0.002705,0.650653,0.003720,0.610235,0.000717,0.134370,0.000780,0.104270,0.001121,0.041207,0.000257,0.230019,0.000266,0.064158,0.000276,0.058720,0.000236,0.125087,0.000765,0.122885,0.000662,640
learned_residual_servoing,8,0.657988,0.002734,0.650481,0.003754,0.610149,0.000737,0.134361,0.000783,0.104292,0.001116,0.041106,0.000253,0.230056,0.000264,0.064240,0.000272,0.058756,0.000238,0.124967,0.000768,0.122842,0.000662,640
learned_residual_servoing,9,0.657626,0.002721,0.650076,0.003745,0.610055,0.000736,0.134389,0.000780,0.104238,0.001125,0.041161,0.000249,0.230032,0.000271,0.064173,0.000272,0.058711,0.000240,0.125017,0.000765,0.122864,0.000659,640
