method,split,seed,mean_success_rate,ci95_success_rate,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
cbf_safety_shield,clean_deployment,0,0.627211,0.018543,0.547488,0.002520,0.140496,0.002914,0.125823,0.004751,0.057124,0.000982,0.259173,0.000868,0.071509,0.001114,35,84
cbf_safety_shield,clean_deployment,1,0.632313,0.021320,0.548286,0.002512,0.140764,0.002927,0.125779,0.004782,0.056988,0.001052,0.258847,0.000922,0.071687,0.001131,35,84
cbf_safety_shield,clean_deployment,2,0.642177,0.016484,0.548169,0.002577,0.141374,0.002935,0.125520,0.004597,0.056773,0.000859,0.258702,0.000799,0.071871,0.001088,35,84
cbf_safety_shield,clean_deployment,3,0.636735,0.019937,0.547137,0.002420,0.141299,0.003082,0.125234,0.004575,0.056815,0.000867,0.259168,0.000887,0.071816,0.001072,35,84
cbf_safety_shield,clean_deployment,4,0.653061,0.022457,0.546563,0.002692,0.141223,0.003252,0.125177,0.004579,0.056659,0.000828,0.258729,0.001008,0.071989,0.001195,35,84
cbf_safety_shield,clean_deployment,5,0.626190,0.015753,0.545989,0.002540,0.141491,0.003454,0.125362,0.004588,0.057400,0.000828,0.258951,0.000906,0.071710,0.001324,35,84
cbf_safety_shield,clean_deployment,6,0.628571,0.017967,0.545872,0.002793,0.140729,0.003437,0.125734,0.004581,0.057493,0.000710,0.259110,0.001057,0.071644,0.001316,35,84
cbf_safety_shield,combined_stress,0,0.557483,0.024228,0.526722,0.002744,0.166865,0.003485,0.150499,0.004813,0.061569,0.001109,0.270735,0.001036,0.085687,0.001239,35,84
cbf_safety_shield,combined_stress,1,0.561905,0.022266,0.526140,0.002736,0.166098,0.003486,0.149952,0.004887,0.061579,0.001002,0.270869,0.001184,0.085617,0.001223,35,84
cbf_safety_shield,combined_stress,2,0.564626,0.022152,0.526473,0.002689,0.166359,0.003409,0.149904,0.004738,0.061486,0.000998,0.270334,0.001133,0.086020,0.001226,35,84
cbf_safety_shield,combined_stress,3,0.541156,0.020412,0.525890,0.002936,0.166621,0.003486,0.149399,0.004862,0.062128,0.001015,0.270747,0.001164,0.086194,0.001263,35,84
cbf_safety_shield,combined_stress,4,0.564966,0.019020,0.526223,0.002889,0.166882,0.003423,0.149351,0.004813,0.061385,0.001113,0.270687,0.001207,0.086140,0.001282,35,84
cbf_safety_shield,combined_stress,5,0.547959,0.024322,0.526556,0.002872,0.166800,0.003512,0.149289,0.004827,0.061663,0.001153,0.270807,0.001252,0.085394,0.001372,35,84
cbf_safety_shield,combined_stress,6,0.577211,0.023223,0.526431,0.002925,0.167405,0.003521,0.149484,0.004777,0.060845,0.001036,0.270235,0.001311,0.084888,0.001323,35,84
cbf_safety_shield,heldout_camera,0,0.587415,0.022207,0.538508,0.002891,0.152001,0.003820,0.136607,0.004778,0.059478,0.001015,0.264411,0.001175,0.077582,0.001176,35,84
cbf_safety_shield,heldout_camera,1,0.603741,0.021252,0.537918,0.002449,0.151914,0.003497,0.136312,0.004571,0.059533,0.000962,0.264422,0.001157,0.077975,0.001178,35,84
cbf_safety_shield,heldout_camera,2,0.608503,0.018982,0.538243,0.002454,0.151826,0.003240,0.136246,0.004550,0.059599,0.000866,0.264320,0.001117,0.077683,0.001179,35,84
cbf_safety_shield,heldout_camera,3,0.599320,0.022021,0.537652,0.002512,0.151396,0.003121,0.136624,0.004552,0.059709,0.001082,0.264815,0.001226,0.077842,0.001196,35,84
cbf_safety_shield,heldout_camera,4,0.604762,0.023466,0.537062,0.002493,0.151994,0.003128,0.136357,0.004719,0.059116,0.001127,0.263791,0.001127,0.077789,0.001116,35,84
cbf_safety_shield,heldout_camera,5,0.595578,0.021293,0.536930,0.002172,0.151906,0.003344,0.136291,0.004837,0.058546,0.001144,0.263829,0.001050,0.077725,0.001090,35,84
cbf_safety_shield,heldout_camera,6,0.603401,0.017554,0.537254,0.002389,0.151819,0.003266,0.136454,0.004844,0.058560,0.000914,0.264153,0.001010,0.077890,0.001086,35,84
cbf_safety_shield,heldout_object,0,0.634354,0.022034,0.541475,0.002467,0.147370,0.003221,0.131674,0.004703,0.057624,0.001054,0.261775,0.000928,0.075366,0.001019,35,84
cbf_safety_shield,heldout_object,1,0.614286,0.020319,0.540427,0.002325,0.146940,0.003175,0.131137,0.004656,0.057687,0.000932,0.261921,0.000933,0.075297,0.001091,35,84
cbf_safety_shield,heldout_object,2,0.618707,0.020705,0.540752,0.002517,0.147538,0.003183,0.131327,0.004776,0.057818,0.000905,0.262051,0.000975,0.075244,0.001046,35,84
cbf_safety_shield,heldout_object,3,0.618707,0.017573,0.540619,0.002871,0.147794,0.003199,0.131504,0.004783,0.058013,0.000909,0.262226,0.000936,0.074957,0.001105,35,84
cbf_safety_shield,heldout_object,4,0.612925,0.020233,0.540944,0.002768,0.147706,0.002974,0.131666,0.004785,0.058071,0.000960,0.262000,0.001032,0.074893,0.001198,35,84
cbf_safety_shield,heldout_object,5,0.606803,0.023343,0.540811,0.002697,0.147618,0.003196,0.131829,0.004715,0.058593,0.000998,0.262007,0.001040,0.074830,0.001272,35,84
cbf_safety_shield,heldout_object,6,0.594218,0.018260,0.541593,0.002686,0.147188,0.003313,0.132207,0.004716,0.058542,0.000982,0.262307,0.001034,0.074989,0.001274,35,84
cbf_safety_shield,heldout_workspace,0,0.588095,0.023140,0.534419,0.002236,0.157360,0.003390,0.141279,0.004678,0.059909,0.000875,0.266682,0.001006,0.080616,0.001216,35,84
cbf_safety_shield,heldout_workspace,1,0.587755,0.019536,0.533395,0.002153,0.157290,0.003640,0.141454,0.004716,0.059643,0.000974,0.266415,0.001148,0.080793,0.001220,35,84
cbf_safety_shield,heldout_workspace,2,0.581633,0.020519,0.532829,0.002757,0.157564,0.003607,0.141415,0.004717,0.059737,0.000985,0.266662,0.001200,0.080747,0.001340,35,84
cbf_safety_shield,heldout_workspace,3,0.578231,0.020744,0.533635,0.002748,0.157837,0.003690,0.141375,0.004884,0.060005,0.001051,0.266882,0.001172,0.080701,0.001315,35,84
cbf_safety_shield,heldout_workspace,4,0.571429,0.025363,0.533069,0.002960,0.157768,0.003658,0.141094,0.004970,0.060078,0.001124,0.266908,0.001273,0.080650,0.001374,35,84
cbf_safety_shield,heldout_workspace,5,0.578571,0.017303,0.533417,0.002911,0.158384,0.003666,0.141068,0.004960,0.060160,0.001034,0.266566,0.001443,0.080609,0.001311,35,84
cbf_safety_shield,heldout_workspace,6,0.564626,0.020810,0.533766,0.002814,0.158314,0.003702,0.141015,0.004896,0.060385,0.001077,0.266891,0.001301,0.080558,0.001357,35,84
classical_ibvs_only,clean_deployment,0,0.517687,0.016852,0.463379,0.002222,0.135923,0.003376,0.141379,0.004759,0.075107,0.000720,0.159053,0.001136,0.091404,0.001193,35,84
classical_ibvs_only,clean_deployment,1,0.526871,0.020701,0.463735,0.002451,0.136202,0.003415,0.141573,0.004685,0.074680,0.000986,0.158466,0.001235,0.091362,0.001327,35,84
classical_ibvs_only,clean_deployment,2,0.523129,0.021516,0.463177,0.002755,0.136139,0.003564,0.141753,0.004847,0.074943,0.000925,0.158693,0.001188,0.091543,0.001313,35,84
classical_ibvs_only,clean_deployment,3,0.536735,0.021863,0.463534,0.002694,0.135732,0.003832,0.141690,0.004812,0.074598,0.000972,0.158290,0.001089,0.091719,0.001363,35,84
classical_ibvs_only,clean_deployment,4,0.539796,0.020132,0.462976,0.002852,0.136012,0.003690,0.141426,0.004974,0.074503,0.001042,0.158221,0.001203,0.091906,0.001329,35,84
classical_ibvs_only,clean_deployment,5,0.527211,0.019025,0.463332,0.002873,0.135605,0.003435,0.141363,0.004765,0.074682,0.001061,0.158309,0.001115,0.092082,0.001347,35,84
classical_ibvs_only,clean_deployment,6,0.536395,0.021538,0.463231,0.002885,0.135884,0.003369,0.141328,0.004584,0.074931,0.001047,0.157950,0.001117,0.092040,0.001380,35,84
classical_ibvs_only,combined_stress,0,0.448639,0.021256,0.443380,0.002875,0.160542,0.003660,0.165225,0.004920,0.078623,0.001092,0.169848,0.001377,0.105252,0.001331,35,84
classical_ibvs_only,combined_stress,1,0.440476,0.024760,0.443729,0.002960,0.159786,0.003579,0.165145,0.005026,0.079141,0.001146,0.169887,0.001329,0.105189,0.001403,35,84
classical_ibvs_only,combined_stress,2,0.431973,0.018389,0.443163,0.002772,0.159717,0.003263,0.165092,0.004951,0.079258,0.000998,0.169930,0.001194,0.105366,0.001328,35,84
classical_ibvs_only,combined_stress,3,0.449320,0.023997,0.443511,0.002718,0.159647,0.003164,0.165038,0.004752,0.079086,0.001094,0.169257,0.001121,0.104858,0.001194,35,84
classical_ibvs_only,combined_stress,4,0.456463,0.022104,0.443860,0.002796,0.159234,0.003073,0.165200,0.004734,0.079103,0.001217,0.169143,0.001109,0.105258,0.001193,35,84
classical_ibvs_only,combined_stress,5,0.433333,0.021351,0.443751,0.002840,0.159165,0.002799,0.165376,0.004743,0.079521,0.001065,0.169103,0.000788,0.104978,0.001082,35,84
classical_ibvs_only,combined_stress,6,0.457143,0.024893,0.444100,0.002632,0.159438,0.002847,0.165565,0.004654,0.078797,0.001256,0.169051,0.000861,0.104932,0.000988,35,84
classical_ibvs_only,heldout_camera,0,0.486735,0.018144,0.454378,0.002630,0.146024,0.003101,0.152096,0.004774,0.076258,0.001120,0.163277,0.000999,0.097672,0.001001,35,84
classical_ibvs_only,heldout_camera,1,0.511565,0.020031,0.454719,0.002669,0.145605,0.002839,0.152254,0.004890,0.076146,0.001230,0.162982,0.001069,0.097611,0.001063,35,84
classical_ibvs_only,heldout_camera,2,0.489116,0.021800,0.455060,0.002441,0.145873,0.002847,0.152210,0.004775,0.076104,0.001017,0.163161,0.000936,0.097790,0.001017,35,84
classical_ibvs_only,heldout_camera,3,0.479252,0.017543,0.454943,0.002501,0.146140,0.002803,0.152395,0.004790,0.076506,0.000924,0.163442,0.000897,0.097968,0.001041,35,84
classical_ibvs_only,heldout_camera,4,0.476190,0.021239,0.455741,0.002494,0.146407,0.002813,0.152580,0.004823,0.076543,0.001046,0.163197,0.000930,0.097690,0.001143,35,84
classical_ibvs_only,heldout_camera,5,0.507483,0.017924,0.456081,0.002477,0.147018,0.002821,0.152093,0.004636,0.075890,0.000997,0.162838,0.000845,0.097874,0.001101,35,84
classical_ibvs_only,heldout_camera,6,0.482993,0.015900,0.455964,0.002570,0.147285,0.002750,0.152049,0.004495,0.076346,0.000788,0.163494,0.000806,0.097823,0.001085,35,84
classical_ibvs_only,heldout_object,0,0.498980,0.016328,0.458484,0.002513,0.142356,0.003081,0.147086,0.004592,0.075503,0.000811,0.161100,0.000957,0.095356,0.001177,35,84
classical_ibvs_only,heldout_object,1,0.510544,0.019458,0.457910,0.002373,0.141938,0.003290,0.147243,0.004601,0.075656,0.000774,0.160938,0.000916,0.095066,0.001301,35,84
classical_ibvs_only,heldout_object,2,0.500340,0.024880,0.457793,0.002759,0.141862,0.003262,0.147643,0.004593,0.076049,0.000867,0.161223,0.001071,0.095010,0.001294,35,84
classical_ibvs_only,heldout_object,3,0.479932,0.018169,0.458134,0.002824,0.141787,0.003481,0.147814,0.004602,0.076866,0.000793,0.161380,0.000972,0.094726,0.001282,35,84
classical_ibvs_only,heldout_object,4,0.492517,0.017847,0.457559,0.002864,0.142054,0.003421,0.147771,0.004529,0.076123,0.000903,0.160979,0.001207,0.094905,0.001235,35,84
classical_ibvs_only,heldout_object,5,0.505782,0.018778,0.457443,0.002575,0.141635,0.003538,0.147928,0.004706,0.076242,0.000871,0.161029,0.001195,0.095072,0.001274,35,84
classical_ibvs_only,heldout_object,6,0.512245,0.019333,0.458241,0.002563,0.141903,0.003576,0.146741,0.004747,0.075576,0.000988,0.161375,0.001253,0.095251,0.001242,35,84
classical_ibvs_only,heldout_workspace,0,0.456122,0.015358,0.450528,0.003164,0.150755,0.003164,0.156635,0.004781,0.077843,0.001078,0.165981,0.000907,0.100817,0.001388,35,84
classical_ibvs_only,heldout_workspace,1,0.471429,0.023591,0.449978,0.003106,0.150355,0.003140,0.156348,0.004656,0.077459,0.001176,0.166023,0.001046,0.100768,0.001278,35,84
classical_ibvs_only,heldout_workspace,2,0.458844,0.023004,0.449885,0.003154,0.150297,0.002894,0.156532,0.004661,0.077676,0.001216,0.166571,0.000946,0.100267,0.001123,35,84
classical_ibvs_only,heldout_workspace,3,0.500000,0.018672,0.450707,0.003144,0.149897,0.003101,0.156702,0.004782,0.076564,0.001000,0.166583,0.000951,0.100218,0.001152,35,84
classical_ibvs_only,heldout_workspace,4,0.467687,0.018783,0.450157,0.002930,0.150525,0.003109,0.156913,0.004817,0.077225,0.000967,0.166643,0.001091,0.099729,0.000835,35,84
classical_ibvs_only,heldout_workspace,5,0.465986,0.022211,0.450064,0.002854,0.150810,0.002915,0.157340,0.004811,0.077029,0.001233,0.166625,0.001237,0.099920,0.000880,35,84
classical_ibvs_only,heldout_workspace,6,0.468027,0.020242,0.450429,0.002632,0.151096,0.002998,0.157309,0.004715,0.076968,0.000973,0.165885,0.001172,0.100110,0.000876,35,84
ensemble_risk_gate,clean_deployment,0,0.670408,0.022162,0.562820,0.002485,0.129061,0.002787,0.121500,0.004571,0.053660,0.001074,0.232211,0.000777,0.066231,0.000963,35,84
ensemble_risk_gate,clean_deployment,1,0.663946,0.018127,0.562711,0.002490,0.129334,0.002698,0.121232,0.004660,0.053751,0.001039,0.232462,0.000777,0.066185,0.000922,35,84
ensemble_risk_gate,clean_deployment,2,0.668707,0.017416,0.562145,0.002529,0.129608,0.002706,0.121421,0.004616,0.053407,0.000894,0.232600,0.000845,0.066368,0.000924,35,84
ensemble_risk_gate,clean_deployment,3,0.664286,0.017477,0.562494,0.002414,0.129538,0.003002,0.121368,0.004625,0.053443,0.000794,0.233060,0.000893,0.066774,0.000929,35,84
ensemble_risk_gate,clean_deployment,4,0.670068,0.015232,0.563300,0.002405,0.129126,0.002948,0.121072,0.004494,0.053468,0.000769,0.233188,0.000922,0.066946,0.000890,35,84
ensemble_risk_gate,clean_deployment,5,0.685034,0.020027,0.563191,0.002511,0.129742,0.002956,0.121275,0.004453,0.052945,0.000932,0.232996,0.000870,0.066676,0.001136,35,84
ensemble_risk_gate,clean_deployment,6,0.667687,0.022175,0.563540,0.002413,0.129330,0.003117,0.121208,0.004635,0.053214,0.000945,0.232898,0.001013,0.067077,0.001139,35,84
ensemble_risk_gate,combined_stress,0,0.584694,0.022551,0.541752,0.002158,0.153907,0.003271,0.145049,0.004659,0.057664,0.000833,0.243781,0.000948,0.080463,0.001284,35,84
ensemble_risk_gate,combined_stress,1,0.611565,0.019629,0.541635,0.002579,0.153488,0.003242,0.145206,0.004662,0.057282,0.000745,0.243694,0.001022,0.080173,0.001272,35,84
ensemble_risk_gate,combined_stress,2,0.598639,0.020507,0.541519,0.002833,0.153756,0.003255,0.145391,0.004665,0.057974,0.000809,0.244006,0.001021,0.080352,0.001289,35,84
ensemble_risk_gate,combined_stress,3,0.598639,0.020055,0.541402,0.002895,0.153680,0.003475,0.145334,0.004590,0.058144,0.000778,0.244188,0.001036,0.079839,0.001226,35,84
ensemble_risk_gate,combined_stress,4,0.596939,0.018254,0.541742,0.002861,0.153604,0.003427,0.145734,0.004597,0.057910,0.000962,0.243930,0.001254,0.080012,0.001265,35,84
ensemble_risk_gate,combined_stress,5,0.597959,0.024333,0.541626,0.002576,0.153529,0.003536,0.145676,0.004703,0.058060,0.001074,0.244102,0.001195,0.080414,0.001269,35,84
ensemble_risk_gate,combined_stress,6,0.595238,0.020583,0.541509,0.002618,0.153453,0.003411,0.144704,0.004807,0.057563,0.000888,0.244312,0.001253,0.080587,0.001238,35,84
ensemble_risk_gate,heldout_camera,0,0.645238,0.021278,0.553373,0.002925,0.140542,0.003254,0.131591,0.004757,0.055001,0.001085,0.237983,0.001238,0.072985,0.001351,35,84
ensemble_risk_gate,heldout_camera,1,0.623469,0.024107,0.554163,0.002913,0.140460,0.003345,0.131301,0.004721,0.055593,0.000992,0.238150,0.001179,0.072696,0.001352,35,84
ensemble_risk_gate,heldout_camera,2,0.649660,0.019090,0.553581,0.002881,0.141065,0.003353,0.131495,0.004676,0.054837,0.000954,0.237838,0.001260,0.072190,0.001304,35,84
ensemble_risk_gate,heldout_camera,3,0.628231,0.020226,0.553456,0.002944,0.140983,0.003615,0.131662,0.004680,0.055212,0.001009,0.238002,0.001188,0.072359,0.001219,35,84
ensemble_risk_gate,heldout_camera,4,0.630612,0.022525,0.553331,0.002776,0.139529,0.003108,0.131546,0.004810,0.055461,0.000978,0.237928,0.001238,0.072049,0.001094,35,84
ensemble_risk_gate,heldout_camera,5,0.648980,0.017413,0.553664,0.002813,0.140134,0.003115,0.131969,0.004810,0.055327,0.000844,0.237693,0.001252,0.072229,0.001083,35,84
ensemble_risk_gate,heldout_camera,6,0.638776,0.020200,0.553082,0.002619,0.140395,0.002936,0.131692,0.004821,0.055484,0.000982,0.237516,0.001092,0.072174,0.001186,35,84
ensemble_risk_gate,heldout_object,0,0.645918,0.020502,0.556909,0.002393,0.135761,0.002848,0.127394,0.004803,0.055062,0.000975,0.235408,0.001036,0.069451,0.001103,35,84
ensemble_risk_gate,heldout_object,1,0.648299,0.021694,0.557699,0.002385,0.135680,0.002970,0.127561,0.004930,0.054504,0.001102,0.235334,0.001074,0.069849,0.001105,35,84
ensemble_risk_gate,heldout_object,2,0.646599,0.020689,0.557574,0.002376,0.135941,0.002892,0.127514,0.004745,0.054271,0.000994,0.235301,0.001003,0.070023,0.001154,35,84
ensemble_risk_gate,heldout_object,3,0.638095,0.019255,0.557907,0.002273,0.135517,0.003089,0.127438,0.004652,0.054811,0.000970,0.235335,0.000859,0.069958,0.001085,35,84
ensemble_risk_gate,heldout_object,4,0.636054,0.019796,0.558697,0.002266,0.135778,0.003129,0.127162,0.004610,0.054805,0.000912,0.235534,0.000817,0.070132,0.001093,35,84
ensemble_risk_gate,heldout_object,5,0.646259,0.021144,0.559029,0.002509,0.136039,0.003055,0.127571,0.004609,0.054581,0.000907,0.235610,0.000846,0.070078,0.000971,35,84
ensemble_risk_gate,heldout_object,6,0.633333,0.024347,0.558447,0.002641,0.135958,0.003027,0.127281,0.004609,0.054997,0.001106,0.235918,0.000855,0.070247,0.000978,35,84
ensemble_risk_gate,heldout_workspace,0,0.616327,0.018674,0.549860,0.002532,0.145184,0.003266,0.136752,0.004793,0.056511,0.000851,0.240381,0.001106,0.075382,0.001124,35,84
ensemble_risk_gate,heldout_workspace,1,0.623810,0.019794,0.549302,0.002158,0.145463,0.003348,0.136945,0.004840,0.056575,0.000853,0.240726,0.001090,0.075340,0.001099,35,84
ensemble_risk_gate,heldout_workspace,2,0.623810,0.018823,0.549659,0.002199,0.145399,0.003424,0.136897,0.004745,0.056526,0.000900,0.240916,0.001128,0.075064,0.001332,35,84
ensemble_risk_gate,heldout_workspace,3,0.625850,0.019819,0.549101,0.002831,0.145679,0.003602,0.137319,0.004745,0.056250,0.000976,0.240628,0.001279,0.075250,0.001321,35,84
ensemble_risk_gate,heldout_workspace,4,0.610884,0.021427,0.549000,0.002677,0.145272,0.003814,0.137256,0.004879,0.056476,0.000978,0.240511,0.001173,0.075655,0.001325,35,84
ensemble_risk_gate,heldout_workspace,5,0.612245,0.021840,0.548899,0.002643,0.145209,0.003701,0.136978,0.005088,0.056391,0.000977,0.240230,0.001219,0.075607,0.001337,35,84
ensemble_risk_gate,heldout_workspace,6,0.621088,0.016609,0.548798,0.002852,0.145145,0.003606,0.136701,0.004820,0.056156,0.000962,0.240103,0.001124,0.075789,0.001354,35,84
fixed_hybrid_switch,clean_deployment,0,0.623810,0.021092,0.500986,0.002291,0.185670,0.003704,0.136211,0.004760,0.071870,0.000987,0.185597,0.001137,0.089271,0.001015,35,84
